X_V, Y_V
-0.135,-0.110
-0.109,-0.066
-0.119,-0.102
-0.109,-0.106
-0.119,-0.114
-0.109,-0.061
-0.089,-0.118
-0.069,-0.054
-0.064,-0.069
-0.069,-0.073
-0.069,-0.076
-0.069,-0.079
-0.069,-0.082
-0.069,-0.085
-0.069,-0.088
-0.069,-0.091
-0.069,-0.094
-0.069,-0.097
-0.069,-0.100
-0.044,-0.066
-0.049,-0.108
-0.039,-0.036
-0.039,-0.050
-0.024,-0.058
-0.029,-0.062
-0.029,-0.103
-0.039,-0.111
-0.029,-0.054
-0.009,-0.072
-0.009,-0.075
-0.009,-0.077
-0.029,-0.079
-0.009,-0.082
-0.009,-0.085
-0.009,-0.088
-0.009,-0.092
-0.009,-0.095
-0.009,-0.098
-0.009,-0.101
0.001,-0.045
0.011,-0.065
0.011,-0.057
0.011,-0.062
0.035,-0.118
0.041,-0.036
0.041,-0.042
0.056,-0.070
0.051,-0.074
0.051,-0.077
0.051,-0.080
0.051,-0.083
0.051,-0.086
0.051,-0.089
0.051,-0.092
0.051,-0.095
0.051,-0.098
0.051,-0.100
0.056,-0.108
0.071,-0.064
0.091,-0.056
0.091,-0.114
0.081,-0.117
0.091,-0.120
0.115,-0.069
0.111,-0.073
0.111,-0.076
0.111,-0.079
0.111,-0.082
0.111,-0.085
0.111,-0.088
0.111,-0.091
0.111,-0.094
0.111,-0.097
0.111,-0.099
0.091,-0.101
0.091,-0.107
0.121,-0.044
0.136,-0.064
0.136,-0.104
0.121,-0.124
0.155,-0.057
0.151,-0.112
0.131,-0.120
0.171,-0.067
0.176,-0.072
0.171,-0.076
0.171,-0.079
0.171,-0.082
0.171,-0.085
0.171,-0.088
0.171,-0.091
0.171,-0.094
0.171,-0.097
0.161,-0.099
0.171,-0.062
0.191,-0.066
0.191,-0.102
0.171,-0.105
0.202,-0.056
0.232,-0.072
0.232,-0.075
0.232,-0.078
0.232,-0.081
0.232,-0.084
0.232,-0.087
0.232,-0.090
0.232,-0.093
0.232,-0.096
0.232,-0.099
0.242,-0.043
0.242,-0.048
0.242,-0.052
0.248,-0.103
0.248,-0.109
0.242,-0.117
0.282,-0.056
0.292,-0.067
0.297,-0.072
0.292,-0.076
0.292,-0.079
0.292,-0.082
0.292,-0.085
0.292,-0.088
0.292,-0.091
0.292,-0.094
0.292,-0.097
0.292,-0.100
0.292,-0.105
0.292,-0.112
0.297,-0.120
0.282,-0.124
0.319,-0.102
0.312,-0.108
0.332,-0.059
0.332,-0.062
0.325,-0.114
0.332,-0.066
0.356,-0.070
0.352,-0.074
0.352,-0.077
0.352,-0.080
0.352,-0.083
0.352,-0.086
0.352,-0.089
0.352,-0.092
0.352,-0.095
0.352,-0.098
0.332,-0.118
0.332,-0.121
0.372,-0.056
0.362,-0.101
0.362,-0.108
0.372,-0.061
0.402,-0.048
0.402,-0.064
0.402,-0.067
0.412,-0.073
0.412,-0.076
0.412,-0.079
0.412,-0.082
0.412,-0.085
0.412,-0.088
0.412,-0.091
0.412,-0.094
0.408,-0.097
0.402,-0.104
0.402,-0.116
0.412,-0.058
0.452,-0.042
0.456,-0.100
0.472,-0.074
0.472,-0.078
0.472,-0.081
0.472,-0.084
0.472,-0.087
0.472,-0.090
0.472,-0.093
0.472,-0.096
0.492,-0.106
0.492,-0.109
0.492,-0.113
0.492,-0.044
0.516,-0.099
0.512,-0.103
0.538,-0.071
0.522,-0.073
0.533,-0.076
0.533,-0.079
0.533,-0.082
0.533,-0.085
0.533,-0.088
0.533,-0.091
0.533,-0.094
0.533,-0.117
0.522,-0.122
0.553,-0.106
0.553,-0.109
0.533,-0.112
0.573,-0.044
0.563,-0.066
0.578,-0.097
0.573,-0.101
0.563,-0.103
0.593,-0.070
0.597,-0.076
0.593,-0.080
0.593,-0.083
0.593,-0.086
0.593,-0.089
0.593,-0.092
0.593,-0.095
0.573,-0.117
0.606,-0.046
0.603,-0.057
0.613,-0.106
0.603,-0.110
0.603,-0.114
0.633,-0.097
0.637,-0.102
0.653,-0.077
0.653,-0.080
0.653,-0.083
0.653,-0.086
0.653,-0.089
0.653,-0.092
0.653,-0.095
0.677,-0.106
0.683,-0.060
0.683,-0.070
0.693,-0.099
0.693,-0.102
0.693,-0.113
0.693,-0.117
0.693,-0.122
0.713,-0.078
0.713,-0.081
0.713,-0.084
0.713,-0.087
0.713,-0.090
0.713,-0.093
0.713,-0.096
0.738,-0.106
0.723,-0.126
0.757,-0.100
0.753,-0.103
0.748,-0.111
0.753,-0.114
0.757,-0.121
0.769,-0.067
0.778,-0.072
0.773,-0.076
0.778,-0.081
0.773,-0.084
0.773,-0.087
0.773,-0.090
0.773,-0.093
0.773,-0.096
0.797,-0.107
0.803,-0.056
0.813,-0.102
0.803,-0.111
0.813,-0.115
0.803,-0.124
0.833,-0.064
0.833,-0.070
0.833,-0.074
0.833,-0.078
0.833,-0.081
0.833,-0.084
0.833,-0.087
0.833,-0.090
0.833,-0.093
0.833,-0.096
0.833,-0.099
0.843,-0.052
0.858,-0.105
0.853,-0.120
0.879,-0.102
0.874,-0.115
0.894,-0.056
0.894,-0.082
0.894,-0.085
0.894,-0.088
0.894,-0.091
0.894,-0.094
0.894,-0.097
0.894,-0.110
0.894,-0.122
0.914,-0.106
0.934,-0.076
0.934,-0.100
0.934,-0.103
0.939,-0.113
0.924,-0.115
0.934,-0.118
0.924,-0.128
0.934,-0.056
0.954,-0.082
0.954,-0.085
0.954,-0.088
0.954,-0.091
0.954,-0.094
0.954,-0.097
0.954,-0.109
0.954,-0.121
0.934,-0.132
0.974,-0.068
0.974,-0.079
0.979,-0.106
0.964,-0.124
0.999,-0.076
0.994,-0.102
0.994,-0.104
0.989,-0.114
0.994,-0.118
1.019,-0.058
1.014,-0.072
1.019,-0.083
1.014,-0.086
1.004,-0.088
1.019,-0.092
1.014,-0.096
1.014,-0.098
1.014,-0.068
1.034,-0.108
1.044,-0.075
1.054,-0.079
1.059,-0.103
1.054,-0.106
1.044,-0.116
1.054,-0.120
1.054,-0.057
1.054,-0.072
1.079,-0.082
1.074,-0.086
1.074,-0.089
1.074,-0.092
1.074,-0.095
1.074,-0.098
1.074,-0.100
1.099,-0.110
1.118,-0.104
1.114,-0.108
1.118,-0.122
1.134,-0.080
1.139,-0.085
1.134,-0.088
1.134,-0.091
1.134,-0.094
1.134,-0.097
1.134,-0.100
1.134,-0.116
1.134,-0.131
1.158,-0.112
1.164,-0.060
1.170,-0.075
1.179,-0.104
1.174,-0.108
1.164,-0.119
1.164,-0.122
1.168,-0.129
1.199,-0.081
1.195,-0.085
1.195,-0.088
1.195,-0.091
1.195,-0.094
1.195,-0.097
1.174,-0.098
1.195,-0.102
1.199,-0.115
1.215,-0.071
1.215,-0.111
1.239,-0.076
1.239,-0.106
1.235,-0.109
1.245,-0.064
1.255,-0.080
1.255,-0.083
1.255,-0.086
1.255,-0.089
1.255,-0.092
1.255,-0.095
1.255,-0.098
1.255,-0.101
1.255,-0.115
1.255,-0.070
1.300,-0.104
1.295,-0.108
1.295,-0.111
1.299,-0.118
1.295,-0.124
1.295,-0.130
1.319,-0.080
1.315,-0.084
1.315,-0.087
1.315,-0.090
1.315,-0.093
1.315,-0.096
1.315,-0.099
1.315,-0.102
1.340,-0.115
1.335,-0.125
1.335,-0.132
1.331,-0.139
1.359,-0.106
1.355,-0.110
1.355,-0.112
1.360,-0.118
1.335,-0.120
1.365,-0.074
1.375,-0.082
1.380,-0.086
1.375,-0.090
1.375,-0.093
1.375,-0.096
1.375,-0.098
1.375,-0.102
1.375,-0.123
1.375,-0.134
1.375,-0.138
1.405,-0.062
1.405,-0.065
1.411,-0.069
1.415,-0.079
1.420,-0.106
1.415,-0.109
1.415,-0.112
1.405,-0.114
1.415,-0.120
1.408,-0.126
1.405,-0.130
1.440,-0.082
1.435,-0.086
1.435,-0.089
1.435,-0.092
1.435,-0.095
1.430,-0.098
1.440,-0.102
1.455,-0.068
1.479,-0.107
1.475,-0.111
1.455,-0.113
1.475,-0.121
1.500,-0.091
1.495,-0.094
1.495,-0.097
1.495,-0.100
1.495,-0.103
1.485,-0.130
1.495,-0.138
1.526,-0.078
1.541,-0.086
1.541,-0.107
1.536,-0.111
1.536,-0.114
1.536,-0.116
1.536,-0.119
1.529,-0.140
1.561,-0.089
1.556,-0.093
1.556,-0.096
1.556,-0.099
1.556,-0.102
1.556,-0.105
1.572,-0.125
1.576,-0.129
1.600,-0.084
1.596,-0.108
1.596,-0.111
1.591,-0.115
1.596,-0.121
1.616,-0.059
1.616,-0.074
1.616,-0.077
1.621,-0.088
1.616,-0.092
1.616,-0.095
1.616,-0.098
1.621,-0.103
1.616,-0.106
1.606,-0.117
1.616,-0.127
1.646,-0.063
1.656,-0.082
1.656,-0.110
1.656,-0.113
1.656,-0.120
1.646,-0.124
1.656,-0.130
1.646,-0.138
1.656,-0.074
1.676,-0.078
1.676,-0.086
1.676,-0.089
1.676,-0.092
1.676,-0.095
1.676,-0.098
1.676,-0.101
1.676,-0.104
1.676,-0.107
1.686,-0.068
1.696,-0.116
1.696,-0.082
1.716,-0.110
1.716,-0.113
1.716,-0.119
1.716,-0.130
1.736,-0.086
1.736,-0.089
1.736,-0.092
1.736,-0.095
1.736,-0.098
1.736,-0.101
1.736,-0.104
1.736,-0.107
1.736,-0.133
1.736,-0.141
1.756,-0.116
1.781,-0.110
1.776,-0.114
1.776,-0.119
1.776,-0.125
1.766,-0.146
1.800,-0.086
1.796,-0.090
1.796,-0.093
1.796,-0.096
1.796,-0.098
1.796,-0.102
1.796,-0.105
1.796,-0.108
1.776,-0.132
1.796,-0.141
1.816,-0.071
1.806,-0.128
1.840,-0.112
1.836,-0.116
1.836,-0.119
1.836,-0.122
1.816,-0.125
1.857,-0.077
1.857,-0.086
1.846,-0.089
1.857,-0.092
1.857,-0.095
1.857,-0.098
1.857,-0.101
1.857,-0.104
1.857,-0.107
1.846,-0.136
1.846,-0.146
1.857,-0.070
1.897,-0.062
1.887,-0.065
1.897,-0.082
1.902,-0.111
1.897,-0.114
1.887,-0.116
1.887,-0.132
1.897,-0.076
1.917,-0.085
1.917,-0.094
1.917,-0.097
1.917,-0.100
1.917,-0.103
1.917,-0.106
1.917,-0.108
1.937,-0.118
1.937,-0.121
1.937,-0.127
1.927,-0.138
1.933,-0.143
1.937,-0.062
1.957,-0.112
1.957,-0.115
1.977,-0.072
1.967,-0.088
1.977,-0.092
1.977,-0.095
1.977,-0.097
1.977,-0.101
1.977,-0.104
1.977,-0.107
1.967,-0.109
1.967,-0.132
1.967,-0.146
1.997,-0.118
1.997,-0.122
1.977,-0.124
1.977,-0.127
1.977,-0.142
2.017,-0.078
2.017,-0.082
2.017,-0.086
2.017,-0.112
2.017,-0.115
2.041,-0.073
2.041,-0.093
2.037,-0.097
2.017,-0.098
2.041,-0.102
2.037,-0.106
2.037,-0.109
2.057,-0.062
2.057,-0.089
2.062,-0.118
2.047,-0.121
2.047,-0.127
2.047,-0.132
2.077,-0.076
2.057,-0.082
2.077,-0.086
2.081,-0.113
2.077,-0.116
2.097,-0.094
2.097,-0.097
2.097,-0.100
2.097,-0.103
2.097,-0.106
2.097,-0.109
2.117,-0.060
2.117,-0.089
2.121,-0.120
2.127,-0.068
2.127,-0.086
2.137,-0.112
2.137,-0.115
2.137,-0.124
2.142,-0.131
2.157,-0.094
2.157,-0.097
2.157,-0.100
2.157,-0.103
2.157,-0.106
2.157,-0.109
2.177,-0.071
2.182,-0.090
2.182,-0.119
2.177,-0.122
2.167,-0.140
2.202,-0.113
2.198,-0.116
2.203,-0.125
2.193,-0.130
2.208,-0.082
2.218,-0.086
2.223,-0.094
2.218,-0.098
2.223,-0.103
2.218,-0.106
2.218,-0.109
2.208,-0.134
2.208,-0.137
2.218,-0.070
2.243,-0.088
2.238,-0.092
2.242,-0.121
2.248,-0.064
2.248,-0.076
2.258,-0.113
2.258,-0.116
2.248,-0.124
2.278,-0.095
2.278,-0.098
2.278,-0.101
2.278,-0.104
2.278,-0.107
2.278,-0.110
2.298,-0.086
2.288,-0.089
2.298,-0.093
2.303,-0.119
2.288,-0.122
2.298,-0.138
2.322,-0.114
2.318,-0.117
2.328,-0.064
2.338,-0.097
2.338,-0.100
2.338,-0.103
2.338,-0.106
2.338,-0.109
2.338,-0.124
2.338,-0.127
2.338,-0.086
2.358,-0.094
2.362,-0.120
2.358,-0.141
2.368,-0.068
2.383,-0.113
2.378,-0.116
2.378,-0.129
2.402,-0.097
2.398,-0.102
2.398,-0.105
2.398,-0.108
2.398,-0.110
2.402,-0.125
2.398,-0.128
2.418,-0.084
2.418,-0.090
2.418,-0.093
2.418,-0.120
2.408,-0.136
2.408,-0.139
2.438,-0.114
2.438,-0.117
2.448,-0.070
2.458,-0.078
2.448,-0.087
2.458,-0.096
2.458,-0.099
2.458,-0.102
2.458,-0.105
2.458,-0.108
2.458,-0.111
2.458,-0.123
2.458,-0.127
2.458,-0.130
2.458,-0.084
2.458,-0.090
2.458,-0.093
2.483,-0.121
2.488,-0.066
2.503,-0.115
2.498,-0.118
2.498,-0.080
2.523,-0.097
2.518,-0.101
2.518,-0.104
2.518,-0.107
2.518,-0.110
2.518,-0.112
2.513,-0.129
2.539,-0.084
2.539,-0.093
2.539,-0.123
2.544,-0.134
2.563,-0.117
2.559,-0.120
2.584,-0.097
2.579,-0.101
2.579,-0.104
2.579,-0.107
2.579,-0.110
2.579,-0.113
2.583,-0.126
2.569,-0.130
2.569,-0.140
2.569,-0.146
2.569,-0.150
2.579,-0.084
2.604,-0.094
2.579,-0.133
2.579,-0.136
2.609,-0.072
2.624,-0.086
2.619,-0.090
2.619,-0.117
2.619,-0.120
2.619,-0.123
2.643,-0.098
2.639,-0.102
2.639,-0.105
2.639,-0.108
2.639,-0.111
2.639,-0.114
2.634,-0.126
2.649,-0.068
2.663,-0.092
2.649,-0.130
2.649,-0.146
2.649,-0.150
2.659,-0.084
2.679,-0.088
2.683,-0.117
2.679,-0.121
2.679,-0.124
2.689,-0.076
2.689,-0.080
2.704,-0.098
2.699,-0.101
2.699,-0.104
2.699,-0.107
2.699,-0.110
2.699,-0.113
2.699,-0.126
2.699,-0.090
2.719,-0.095
2.739,-0.117
2.739,-0.120
2.739,-0.123
2.739,-0.142
2.739,-0.148
2.729,-0.152
2.759,-0.099
2.759,-0.102
2.759,-0.105
2.759,-0.108
2.759,-0.111
2.759,-0.114
2.759,-0.126
2.769,-0.090
2.784,-0.096
2.779,-0.129
2.779,-0.132
2.779,-0.135
2.769,-0.138
2.799,-0.117
2.799,-0.120
2.799,-0.123
2.803,-0.141
2.779,-0.150
2.824,-0.102
2.819,-0.106
2.819,-0.109
2.819,-0.112
2.819,-0.115
2.824,-0.126
2.839,-0.094
2.839,-0.097
2.834,-0.131
2.819,-0.136
2.849,-0.074
2.860,-0.078
2.849,-0.084
2.849,-0.087
2.860,-0.118
2.860,-0.121
2.849,-0.133
2.860,-0.141
2.849,-0.143
2.880,-0.100
2.880,-0.103
2.880,-0.106
2.880,-0.109
2.880,-0.112
2.880,-0.115
2.880,-0.124
2.880,-0.127
2.893,-0.080
2.890,-0.094
2.900,-0.097
2.924,-0.119
2.920,-0.123
2.900,-0.142
2.945,-0.102
2.940,-0.106
2.940,-0.109
2.940,-0.112
2.940,-0.115
2.940,-0.127
2.940,-0.138
2.940,-0.150
2.940,-0.098
2.970,-0.072
2.980,-0.118
2.980,-0.122
2.970,-0.131
2.976,-0.143
3.000,-0.102
3.000,-0.105
3.000,-0.107
2.980,-0.109
3.000,-0.112
3.000,-0.115
3.005,-0.124
3.000,-0.128
3.000,-0.138
2.980,-0.152
3.020,-0.098
3.040,-0.118
3.020,-0.144
3.050,-0.068
3.056,-0.077
3.060,-0.090
3.060,-0.094
3.060,-0.100
3.060,-0.103
3.060,-0.106
3.060,-0.109
3.060,-0.112
3.060,-0.115
3.060,-0.121
3.065,-0.125
3.050,-0.127
3.065,-0.132
3.050,-0.140
3.050,-0.148
3.080,-0.097
3.100,-0.072
3.100,-0.081
3.090,-0.086
3.100,-0.118
3.120,-0.079
3.100,-0.090
3.100,-0.094
3.120,-0.100
3.120,-0.103
3.120,-0.106
3.120,-0.109
3.120,-0.112
3.120,-0.115
3.120,-0.121
3.115,-0.125
3.120,-0.131
3.100,-0.134
3.145,-0.127
3.140,-0.148
3.140,-0.074
3.164,-0.119
3.170,-0.066
3.180,-0.102
3.180,-0.105
3.180,-0.108
3.180,-0.111
3.180,-0.114
3.180,-0.123
3.180,-0.135
3.186,-0.144
3.196,-0.127
3.201,-0.147
3.211,-0.082
3.221,-0.096
3.221,-0.117
3.221,-0.120
3.221,-0.129
3.211,-0.138
3.241,-0.102
3.241,-0.105
3.241,-0.108
3.241,-0.111
3.241,-0.114
3.241,-0.123
3.236,-0.132
3.245,-0.141
3.251,-0.068
3.251,-0.090
3.251,-0.093
3.261,-0.099
3.261,-0.126
3.281,-0.097
3.281,-0.117
3.281,-0.120
3.281,-0.129
3.301,-0.103
3.301,-0.106
3.301,-0.109
3.301,-0.112
3.301,-0.115
3.306,-0.124
3.321,-0.126
3.331,-0.094
3.346,-0.120
3.341,-0.130
3.341,-0.133
3.341,-0.138
3.341,-0.142
3.365,-0.105
3.361,-0.109
3.361,-0.112
3.361,-0.115
3.361,-0.117
3.366,-0.123
3.381,-0.101
3.386,-0.127
3.371,-0.150
3.394,-0.131
3.401,-0.137
3.401,-0.142
3.421,-0.096
3.426,-0.105
3.421,-0.109
3.421,-0.112
3.421,-0.115
3.421,-0.118
3.421,-0.121
3.421,-0.124
3.426,-0.134
3.411,-0.156
3.446,-0.102
3.446,-0.126
3.461,-0.080
3.461,-0.093
3.466,-0.131
3.455,-0.138
3.481,-0.095
3.481,-0.106
3.481,-0.109
3.481,-0.112
3.481,-0.115
3.481,-0.118
3.481,-0.121
3.481,-0.133
3.491,-0.072
3.506,-0.086
3.491,-0.100
3.501,-0.104
3.506,-0.124
3.501,-0.127
3.491,-0.136
3.491,-0.143
3.501,-0.082
3.501,-0.130
3.547,-0.108
3.542,-0.111
3.542,-0.114
3.542,-0.117
3.542,-0.120
3.542,-0.085
3.562,-0.105
3.567,-0.123
3.562,-0.127
3.562,-0.129
3.587,-0.134
3.582,-0.141
3.582,-0.144
3.582,-0.152
3.602,-0.109
3.602,-0.112
3.602,-0.115
3.602,-0.118
3.622,-0.106
3.622,-0.121
3.622,-0.124
3.622,-0.127
3.622,-0.130
3.622,-0.148
3.642,-0.133
3.642,-0.136
3.646,-0.143
3.622,-0.145
3.646,-0.154
3.662,-0.080
3.652,-0.092
3.667,-0.100
3.652,-0.103
3.662,-0.109
3.662,-0.112
3.662,-0.115
3.662,-0.118
3.667,-0.139
3.682,-0.106
3.682,-0.121
3.682,-0.124
3.682,-0.127
3.682,-0.130
3.662,-0.148
3.702,-0.133
3.692,-0.144
3.722,-0.078
3.722,-0.100
3.722,-0.103
3.722,-0.109
3.722,-0.112
3.722,-0.115
3.722,-0.118
3.717,-0.138
3.732,-0.074
3.732,-0.086
3.742,-0.092
3.742,-0.106
3.742,-0.121
3.742,-0.124
3.742,-0.127
3.746,-0.131
3.772,-0.078
3.772,-0.099
3.782,-0.109
3.782,-0.112
3.782,-0.115
3.782,-0.118
3.772,-0.142
3.772,-0.152
3.782,-0.158
3.782,-0.092
3.802,-0.106
3.802,-0.121
3.802,-0.124
3.802,-0.127
3.797,-0.131
3.827,-0.133
3.822,-0.137
3.822,-0.140
3.822,-0.146
3.847,-0.109
3.842,-0.113
3.842,-0.116
3.842,-0.119
3.822,-0.160
3.868,-0.094
3.863,-0.099
3.868,-0.104
3.868,-0.122
3.863,-0.126
3.863,-0.129
3.868,-0.143
3.863,-0.148
3.853,-0.154
3.888,-0.131
3.883,-0.135
3.883,-0.138
3.883,-0.141
3.893,-0.080
3.903,-0.087
3.908,-0.109
3.903,-0.112
3.903,-0.115
3.903,-0.118
3.903,-0.093
3.923,-0.096
3.923,-0.104
3.923,-0.106
3.928,-0.121
3.923,-0.125
3.923,-0.128
3.903,-0.145
3.903,-0.150
3.933,-0.068
3.948,-0.131
3.933,-0.134
3.933,-0.138
3.963,-0.086
3.967,-0.110
3.963,-0.114
3.963,-0.117
3.973,-0.078
3.983,-0.121
3.983,-0.124
3.983,-0.127
4.003,-0.128
4.003,-0.132
4.023,-0.108
4.028,-0.113
4.023,-0.116
4.013,-0.118
4.028,-0.134
4.023,-0.138
4.019,-0.145
4.019,-0.153
4.047,-0.122
4.043,-0.126
4.059,-0.095
4.053,-0.102
4.063,-0.106
4.068,-0.129
4.063,-0.139
4.056,-0.156
4.088,-0.108
4.083,-0.112
4.083,-0.115
4.083,-0.118
4.083,-0.133
4.063,-0.146
4.103,-0.077
4.097,-0.091
4.103,-0.121
4.103,-0.124
4.103,-0.137
4.093,-0.150
4.123,-0.127
4.133,-0.082
4.133,-0.086
4.133,-0.098
4.133,-0.101
4.143,-0.106
4.143,-0.110
4.143,-0.113
4.143,-0.116
4.143,-0.119
4.148,-0.130
4.133,-0.133
4.133,-0.146
4.143,-0.076
4.168,-0.121
4.163,-0.125
4.143,-0.136
4.184,-0.106
4.184,-0.110
4.184,-0.113
4.184,-0.116
4.184,-0.129
